開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
超重	chao1 zhong4	tropeza
超自然	chao1 zi4 ran2	supernatura
朝代	chao2 dai4	dinastio
潮濕	chao2 shi1	humida
超市	chao2 shi4	supervendejo
朝鮮話	chao2 xian1 hua4	la korea; la korea lingvo
朝鮮文	chao2 xian1 wen2	la korea; la korea lingvo
朝鮮語	chao2 xian1 yu3	la korea; la korea lingvo
朝向	chao2 xiang4	al
嘲笑	chao2 xiao4	moki; primoki
朝語	chao2 yu3	la korea; la korea lingvo
炒魷魚	chao3  you2 yu2	(sla) maldungi
吵架	chao3 jia4	disputi
吵鬧	chao3 nao4	brua
車	che1	veturilo
車	che1	aŭto
車輛	che1 liang4	aŭto
車子	che1 zi5	aŭto
梣	chen2	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
沉默	chen2 mo4	silento
梣樹	chen2 shu4	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
陳述語氣	chen2 shu4  yu3 qi4	indikativo modo (gramatiko)
陳述式	chen2 shu4 shi4	indikativo (gramatiko)
塵土	chen2 tu3	polvo
襯衫	chen4 shan1	ĉemizo
橙	cheng2	(pla-sci) oranĝarbo; (latine, Citrus sinensis)
成	cheng2	iĝi
城堡	cheng2 bao3	kastelo
成都	cheng2 du1	Ĉengduo; ĉefurbo de la ĉina provinco Siĉŭano
程度	cheng2 du4	nivelo
成分	cheng2 fen4	konsistigaĵo; ingredienco
成功	cheng2 gong1	sukceso; sukcesi
成績	cheng2 ji1	noto
成吉思汗	Cheng2 ji2 si1  han4	Ĝingis-Ĥano; Ĝenĝis Ĥano
成見	cheng2 jian4	antaŭjuĝo
成就	cheng2 jiu4	elfaro
誠懇	cheng2 ken3	sincera
承諾	cheng2 nuo4	promeso
成人	cheng2 ren2	plenkreskulo
成人	cheng2 ren2	plenkreska
承認	cheng2 ren4	konfesi; koncedi
誠實	cheng2 shi2	honesta
城市	cheng2 shi4	urbo
成熟	cheng2 shu2	matura
橙樹	cheng2 shu4	(pla-sci) oranĝarbo; (latine, Citrus sinensis)
成為	cheng2 wei2	iĝi
橙星	cheng2 xing1	(ast) oranĝa stelo
誠意	cheng2 yi4	sincereco
成語	cheng2 yu3	idiotismo; kvarsigna idiotismo; kvarsigna ĉina esprimo (gramatiko)
成員	cheng2 yuan2	ano
成長	cheng2 zhang3	kreskado
城鎮	cheng2 zhen4	urbeto
懲罰	cheng3 fa2	puno
吃	chi1	manĝi
吃晚飯	chi1  wan3 fan4	vespermanĝi
吃午飯	chi1  wu3 fan4	meztagmanĝi
吃早餐	chi1  zao3 can1	matenmanĝi
遲到	chi2	malfruiĝi
遲	chi2	malfrua
遲	chi2	malrapida
遲鈍	chi2 dun4	malakra
池塘	chi2 tang2	lageto
齒	chi3	(anat) dento
齒根	chi3 gen1	dentoradiko
尺骨	chi3 gu3	(anat) ulno
齒冠	chi3 guan1	dentokrono
齒輪	chi3 lun2	dentrado
齒齦	chi3 yin2	(anat) dentokarno
翅	chi4	naĝilo de ŝarko
翅	chi4	flugilo
翅膀	chi4 bang3	flugilo
赤楊	chi4 yang2	(pla-sci) alno; alnarbo (latine, Alnus)
赤楊樹	chi4 yang2 shu4	(pla-sci) alno; alnarbo (latine, Alnus)
衝動	chong1 dong4	impulsiĝema
衝突	chong1 tu1	konflikto
蟲	chong2	insekto
崇拜	chong2 bai4	adori
重慶	chong2 qing4	Ĉongĉingo; la ĉina urbo Ĉongĉingo
蟲子	chong2 zi5	insekto
抽	chou1	fumi
抽屜	chou1 ti4	tirkesto
抽象	chou1 xiang4	abstrakta
抽煙	chou1 yan1	fumi
抽煙	chou1 yan1	fumi; fumi cigaredon
仇人	chou2 ren2	malamiko
醜	chou3	malbela
醜陋	chou3 lou4	malbela
醜聞	chou3 wen2	skandalo
臭鼬鼠	chou4 you4 shu3	mefito (mambesto)
出	chu1	eliri
出	chu1	el
出版	chu1 ban3	eldoni
出版社	chu1 ban3 she4	eldonejo
出發	chu1 fa1	eliri
出訪	chu1 fang3	kuirejo
出口	chu1 kou3	elirejo
出來	chu1 lai2	elveni
出去	chu1 qu4	eliri
出生	chu1 sheng1	naskiĝi
出生日期	chu1 sheng1  ri4 qi1	naskiĝdato
出現	chu1 xian4	aperi
出租	chu1 zu1	luebla
除	chu2	krom
廚	chu2	kuirejo
蜍	chu2	bufo (amfibio)
櫥窗	chu2 chuang1	montrofenestro
廚房	chu2 fang2	kuirejo
除非	chu2 fei1	krom se
櫥櫃	chu2 gui4	ŝranko
雛菊	chu2 ju2	(pla-sci) lekanto; lekantfloro (latine, Bellis perennis)
雛菊花	chu2 ju2 hua1	(pla-sci) lekanto; lekantfloro (latine, Bellis perennis)
除了…外	chu2 le5 wai4	krom
除了…以外	chu2 le5 yi3 wai4	krom
除了…之外	chu2 le5 zhi1 wai4	krom
廚師	chu2 shi1	kuiristo
除外	chu2 wai4	krom
除…外	chu2 wai4	krom
處罰	chu3 fa2	puni
處理	chu3 li3	trakti
川	chuan1	Siĉŭano; mallongiga formo de Siĉŭano
川	chuan1	rivero
穿山甲	chuan1 shan1 jia3 	maniso (mambesto)
船	chuan2	boato
傳奇	chuan2 qi2	legendo
傳染	chuan2 ran3	infekta
傳統	chuan2 tong3	tradicia
船長	chuan2 zhang3	ŝipestro
視窗	chuang1 kou3	fenestro
窗框	chuang1 kuang4	fenestrokadro
窗廉	chuang1 lian2	kurteno
床單	chuang2 dan1	littuko
床墊	chuang2 dian4	matraco
床鋪	chuang2 pu4	lito
創意	chuang4 yi4	kreema
創造	chuang4 zao4	krei
垂柳	chui2 liu3	(pla-sci) plorsaliko; plorsalikarbo (latine, Salix sepulcralis)
垂柳樹	chui2 liu3 shu4	(pla-sci) plorsaliko; plorsalikarbo (latine, Salix sepulcralis)
春	chun1	printempo
春分	chun1 fen1	la printempa ekvinokso
春天	chun1 tian1	printempo
綽號	chuo4 hao4	kromnomo
雌	ci2	ina (besto); -ino
雌	ci2	inseksa
磁場	ci2 chang3	(fiz) magneta kampo
詞典	ci2 dian3	vortaro
詞法	ci2 fa3	morfologio (lingvistiko)
詞根	ci2 gen1	radiko (gramatiko)
詞類	ci2 lei4	vortklaso (lingvistiko)
詞類	ci2 lei4	parto de parolo (gramatiko)
雌瑪	ci2 ma3	ĉevalino
磁碟	ci2 pan2	magneta disko
雌蕊	ci2 rui3	(plantoj) pistilo; pistilo de floro
磁鐵	ci2 tie3	magneto
詞尾	ci2 wei3	finiĝo (gramatiko)
詞尾不變	ci2 wei3  bu2 bian4	nedeklinaciebla (gramatiko)
詞尾不變詞	ci2 wei3  bu2 bian4 ci2	nedeklinaciebla vorto (gramatiko)
詞形變化	ci2 xing2  bian4 hua4	fleksio (gramatiko)
雌性	ci2 xing4	inseksa
詞序	ci2 xu4	vortordo (lingvistiko)
詞語	ci2 yu3	vorto (lingvistiko)
詞綴	ci2 zhui4	afikso (gramatiko)
片語	ci2 zu3	frazero; frazo (gramatiko)
刺	ci4	dorno
次	ci4	foje
刺柏	ci4 bai3	(pla-sci) junipero; juniperarbo (latine, Juniperus)
刺柏樹	ci4 bai3 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
刺槐	ci4 huai2	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
刺槐樹	ci4 huai2 shu4	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
刺激	ci4 ji1	ekscita
刺蝟	ci4 wei4	erinaco (mambesto)
叢林	cong1 lin2	ĝangalo
聰明	cong1 ming2	lerta
從	cong2	de
從句	cong2 ju4	propozicio (gramatiko)
從沒	cong2 mei2	neniam
粗	cu1	dika
粗糙	cu1 cao1	malglata
粗話	cu1 hua4	trivialaĵo
粗魯	cu1 lu3	triviala
酢漿草	cu4 jiang1 cao3	(pla-sci) trifolio; trifolifloro (latine, Trifolium repens)
催眠術	cui1 mian2 shu4	hipnoto
脆弱	cui1 ruo4	facilrompa; rompiĝema
村莊	cun1 zhuang1	vilaĝo
存錢	cun2 qian2	ŝpari monon
存在	cun2 zai4	ekzisti
錯	cuo4	eraro
錯	cuo4	malĝusta
銼刀	cuo4 dao1	fajlilo
錯過	cuo4 guo4	maltrafi
錯視	cuo4 shi4	optika iluzio
錯誤	cuo4 wu4	eraro
答應	da1 ying4	promesi
達	da2	alveni
答錄機	da2 lu4 ji1	respondaparato
打	da3	frapi
打電話	da3  dian4 hua4	telefoni
打電話給	da3  dian4 hua4  gei3	telefoni al
打噴嚏	da3  pen1 ti4	terni
打敗	da3 bai4	venki
打工	da3 gong1	labori
打哈欠	da3 ha1 qian4	oscedi
打火機	da3 huo3 ji1	fajrilo
打架	da3 jia4	interbatiĝi
打開	da3 kai1	malfermi
打開電燈	da3 kai1  dian4 deng1	ŝalti lampon
打破	da3 po4	rompi
打擾	da3 rao3	ĝeni
打碎	da3 sui4	disrompi
印表機	da3 yin4 ji1	presilo
打字機	da3 zi4 ji1	skribmaŝino
打字員	da3 zi4 yuan2	tajpisto
大	da4	granda
大爆炸	da4 bao4 zha4	(ast) Praeksplodo; Granda Eksplodo
大爆炸理論	da4 bao4 zha4  li3 lun4	(ast) teorio de Praeksplodo
大部分的	da4 bu4 fen1 de5	la plejparto de; grandparte de
大部分	da4 bu4 fen5	plejparto; la plejparto
大腸	da4 chang2	(anat) intesto
大腸	da4 chang2	(anat) dika intesto
大動脈	da4 dong4 mai4	aorto
大豆	da4 dou4	sojfabo
大多數	da4 duo1 shu4	plejparto; la plejparto
大概	da4 gai4	verŝajne
大話	da4 hua4	mensogo
大會	da4 hui4	ĝenerala asembleo
大家	da4 jia1	ĉiuj
大力子	da4 li4 zi5	(pla-sci) lapo; (latine, Arctium)
大陸	da4 lu4	kontinento
大陸	da4 lu4	la ĉeftero de Ĉinio
大麻	da4 ma2	(pla-sci) kanabo; (latine, Cannabis sativa)
大麥	da4 mai4	hordeo
大貓熊	da4 mao1 xiong2	granda pando
大米	da4 mi3	rizo
大米飯	da4 mi3 fan4	rizo
大拇指	da4 mu3 zhi3	dikfingro; polekso
大腦	da4 nao3	(anat) cerebro
大人	da4 ren2	plenkreskulo
大熔爐	da4 rong2 lu2	la fandujo granda
大使	da4 shi3	ambasadoro
大使館	da4 shi3 guan3	ambasadorejo
大腿	da4 tui3	(anat) femuro
大腿骨	da4 tui3 gu3	(anat) femurosto
大臀肌	da4 tun2 ji1	(anat) sidvango; glutea muskolo
大象	da4 xiang4	elefanto (mambesto)
大小	da4 xiao3	grandeco
大熊貓	da4 xiong2 mao1	granda pando
大學	da4 xue2	universitato
大學生	da4 xue2 sheng1	studento
大衣	da4 yi1	palto; surtuto
大英帝國	da4 ying1  di4 guo2	Brita Imperio
代	dai4	generacio
帶	dai4	alporti
代表	dai4 biao3	reprezenti
代表	dai4 biao3	signifi
逮捕	dai4 bu3	aresti
代詞	dai4 ci2	pronomo (gramatiko)
代達羅斯	Dai4 da2 luo2 si1	Dedalo (helena mitologio)
代溝	dai4 gou1	abismo inter la generacioj
貸款	dai4 kuan3	prunto
帶來	dai4 lai2	alporti
帶領	dai4 ling3	alporti
代名詞	dai4 ming2 ci2	pronomo (gramatiko)
帶去	dai4 qu4	alporti
袋鼠	dai4 shu3	makropo (mambesto)
代替	dai4 ti4	anstataŭigi
待宵草	dai4 xiao1 cao3	(pla-sci) enotero meza; enoterfloro meza (latine, Oenothera biennis)
袋子	dai4 zi5	sako
單車	dan1 che1	biciklo
單詞	dan1 ci2	vorto (lingvistiko)
耽擱	dan1 ge1	malfruigi
擔架床	dan1 jia4 chuang2	homportilo
丹麥語	dan1 mai4 yu3	la dana; la dana lingvo
單數	dan1 shu4	singularo (gramatiko)
單數詞尾	dan1 shu4  ci2 wei3	singulara finaĵo (gramatiko)
單數代詞	dan1 shu4  dai4 ci2	singulara pronomo (gramatiko)
單數代名詞	dan1 shu4  dai4 ming2 ci2	singulara pronomo (gramatiko)
單位	dan1 wei4	unuo
單細胞	dan1 xi4 bao1	unuĉelula
單細胞生物	dan1 xi4 bao1  sheng1 wu4	unuĉelula organismo
擔心	dan1 xin1	maltrankvila
單母音	dan1 yuan2 yin1	monoftongo (lingvistiko)
單字	dan1 zi4	vorto
膽	dan3	(anat) galveziko; gala veziko
膽敢	dan3 gan3	aŭdaci; kuraĝi
膽囊	dan3 nang2	(anat) galveziko; gala veziko
但	dan4	sed
氮	dan4	(kem) nitrogeno; la elemento nitrogeno (N), atomnumero 7
蛋白質	dan4 bai2 zhi4	proteino
但是	dan4 shi4	sed
當然	dang1 ran2	kompreneble
當時	dang1 shi2	tiam; tiotempe
黨	dang3	la Komunista Partio de Ĉinio
黨	dang3	partio
檔案	dang4 an4	dosiero
刀叉	dao1 cha1	tranĉilo kaj forko
禱	dao3	preĝi
禱告	dao3 gao4	preĝi
倒塌	dao3 ta1	disfali
導體	dao3 ti3	(fiz) kondukanto; konduktilo
導演	dao3 yan3	reĝisoro
導游	dao3 you2	gvidisto
島嶼	dao3 yu3	insulo
導致	dao3 zhi4	kaŭzi; igi
到	dao4	alveni
到	dao4	al
稻草	dao4 cao3	(pla-sci) pajlo
倒出來	dao4 chu1 lai2	elverŝi
到處	dao4 chu4	ĉie
到達	dao4 da2	alveni
道德	dao4 de2	virto; moralo
到來	dao4 lai2	alveno
道理	dao4 li3	racio
道路	dao4 lu4	vojo
稻米	dao4 mi3	rizo
道歉	dao4 qian4	ekskuzi sin
稻田	dao4 tian2	rizokampo
稻子豆	dao4 zi5 dou4	(pla-sci) karobarbo; (latine, Ceratonia siliqua)
鍀	de2	(kem) teknecio; la elemento teknecio (Tc), atomnumero 43
得到	de2 dao4	akiri
得墨忒耳	De2 mo4 te4 er3	Demetera (helena mitologio)
德文	de2 wen2	la germana; la germana lingvo
德語	de2 yu3	la germana; la germana lingvo
得知	de2 zhi1	sciiĝi
的時候	de5 shi2 hou5	kiam
燈	deng1	lampo
登出	deng1 chu1	elsaluti
登入	deng1 ru4	ensaluti
燈塔	deng1 ta3	lumturo
燈心草	deng1 xin1 cao3	(pla-sci) junko
等	deng3	atendi
等待	deng3 dai4	atendi
等候室	deng3 hou4 shi4	atendejo
低	di1	malalta
鏑	di1	(kem) disprozio; la elemento disprozio (Dy), atomnumero 66
低潮	di1 chao2	malalttajdo; malaltmaro
黛安娜	Di2 an1 na4	Diana (romia mitologio)
狄俄尼索斯	Di2 e2 ni2 suo3 si1	Dionizo (helena mitologio)
的確	di2 que4	ja
敵人	di2 ren2	malamiko
地方	di3 fang1	loko; ejo
抵抗	di3 kang4	kontraŭstari; rezisti
帝	di4	imperiestro
碲	di4	(kem) teluro; la elemento teluro (Te), atomnumero 52
第八	di4 ba1	oka
第八十	di4 ba1 shi2	okdeka
地板	di4 ban3	planko
地道	di4 dao4	tunelo
第二	di4 er4	dua
第二人秤	di4 er4  ren2 cheng1	dua persono (gramatiko)
第二次大戰	di4 er4 ci4  da4 zhan4	la dua mondmilito; (1939-1945 KE)
第二次世界大戰	di4 er4 ci4  shi4 jie4  da4 zhan4	la dua mondmilito; (1939-1945 KE)
第二十	di4 er4 shi2	dudeka
地格	di4 ge2	lokativo; lokativa kazo (gramatiko)
帝國	di4 guo2	imperio
地窖	di4 jiao4	kelo
第九	di4 jiu3	naŭa
第九十	di4 jiu3 shi2	naŭdeka
地雷	di4 lei2	mino
地理	di4 li3	geografio
第六	di4 liu4	sesa
第六十	di4 liu4 shi2	sesdeka
地平線	di4 ping2 xian4	horizonto
第七	di4 qi1	sepa
第七十	di4 qi1 shi2	sepdeka
地球	di4 qiu2	(ast) Tero
第三	di4 san1	tria
第三人秤	di4 san1  ren2 cheng1	tria persono (gramatiko)
第三十	di4 san1 shi2	trideka
第十	di4 shi2	deka
第十八	di4 shi2 ba1	dek-oka
第十二	di4 shi2 er4	dek-dua
第十九	di4 shi2 jiu3	dek-naŭa
第十六	di4 shi2 liu4	dek-sesa
第十七	di4 shi2 qi1	dek-sepa
第十三	di4 shi2 san1	dek-tria
第十四	di4 shi2 si4	dek-kvara
第十五	di4 shi2 wu3	dek-kvina
第十一	di4 shi2 yi1	dek-unua
第四	di4 si4	kvara
第四十	di4 si4 shi2	kvardeka
地毯	di4 tan3	tapiŝo
地鐵站	di4 tie3 zhan4	tramhaltejo
地圖	di4 tu2	karto
第五	di4 wu3	kvina
第五十	di4 wu3 shi2	kvindeka
地下	di4 xia4	subtera
地下室	di4 xia4 shi4	kelo
地下鐵	di4 xia4 tie3	metroo
第一	di4 yi1	unua
地衣	di4 yi1	(pla-sci) likeno
第一人秤	di4 yi1  ren2 cheng1	unua persono (gramatiko)
第一次	di4 yi1 ci4	unuafojo
第一次大戰	di4 yi1 ci4  da4 zhan4	la unua mondmilito; (1914-1918 KE)
第一次世界大戰	di4 yi1 ci4  shi4 jie4  da4 zhan4	la unua mondmilito; (1914-1918 KE)
第一百	di4 yi4 bai3	centa
地獄	di4 yu4	infero
地震	di4 zhen4	tertremo
地址	di4 zhi3	adreso
滇	dian1	Junano; mallongiga formo de Junano
顛茄	dian1 qie2	(pla-sci) beladono; (latine, Atropa belladonna)
碘	dian3	(kem) jodo; la elemento jodo (I), atomnumero 53
電	dian4	elektro; elektra
店	dian4	vendejo
電	dian4	fulmo
電冰箱	dian4 bing1 xiang1	fridujo
電場	dian4 chang3	(fiz) elektra kampo
電池	dian4 chi2	pilo
電磁場	dian4 ci2 chang3	(fiz) elektromagneta kampo
電燈	dian4 deng1	lampo
電燈泡	dian4 deng1 pao4	ampolo; lum-ampolo
電風扇	dian4 feng1 shan4	ventolilo
電工	dian4 gong1	elektristo
電荷	dian4 he2	(fiz) elektra ŝargo
電話	dian4 hua4	telefono
電話號碼	dian4 hua4  hao4 ma3	telefon-numero
電話簿	dian4 hua4 bu4	telefonlibro
電話卡	dian4 hua4 ka3	telefonkarto
電話亭	dian4 hua4 ting2	telefonbudo
電話線	dian4 hua4 xian4	telefondrato
電絕緣體	dian4 jue2 yuan2 ti3	(fiz) elektra izolilo
電力	dian4 li4	elektro
電鈴	dian4 ling2	elektra sonorilo
電流	dian4 liu2	(fiz) elektra kurento
電路	dian4 lu4	(fiz) elektra cirkvito
電腦	dian4 nao3	komputilo
電鈕	dian4 niu3	butono; elektra butono
店鋪	dian4 pu4	butiko; vendejo
電容	dian4 rong2	(fiz) kapacitanco
電扇	dian4 shan4	elektra ventumilo
電視	dian4 shi4	televido
電視節目	dian4 shi4  jie2 mu4	televida programo
電視連續劇	dian4 shi4  lian2 xu4 ju4	televida teatraĵserio; televida serialo
電視屏幕	dian4 shi4  ping2 mu4	televidila ekrano
電視新聞	dian4 shi4  xin1 wen2	televidaj novaĵoj
電視機	dian4 shi4 ji1	televidilo
電視劇	dian4 shi4 ju4	televida teatraĵo
電視臺	dian4 shi4 tai2	televida stacio
電臺	dian4 tai2	kanalo
電梯	dian4 ti1	lifto
電線	dian4 xian4	drato
電椅	dian4 yi3	elektra seĝo
電影	dian4 ying3	filmo
電影字幕	dian4 ying3  zi4 mu4	subtitolo de filmo
電影院	dian4 ying3 yuan4	kinejo
電郵	dian4 you2	retpoŝto
電郵地址	dian4 you2  di4 zhi3	retpoŝt-adreso
店員	dian4 yuan2	vendisto
電子	dian4 zi3	elektronika
電子	dian4 zi3	(fiz) elektrono
電子線路	dian4 zi3  xian4 lu4	(fiz) elektra cirkvito
電子郵件	dian4 zi3  you2 jian4	retpoŝto
電子郵件地址	dian4 zi3  you2 jian4  di4 zhi3	retpoŝt-adreso
電阻	dian4 zu3	(fiz) elektra rezistanco
鵰	diao1	falko (birdo)
彫刻品	diao1 ke4 pin3	skulptaĵo
雕像	diao1 xiang4	skulptaĵo; statuo
調查	diao4 cha2	enketo
掉了	diao4 le5	fali
調子	diao4 zi5	melodio
蝶	die2	papilio (insekto)
丁香	ding1 xiang1	(pla-sci) kariofilo
頂葉	ding3 ye4	(anat) parieta lobo
定	ding4	certe
定詞	ding4 ci2	difinita artikolo (gramatiko)
定義	ding4 yi4	difino
銩	diu1	(kem) tulio; la elemento tulio (Tm), atomnumero 69
丟掉	diu1 diao4	forĵeti
氡	dong1	(kem) radono; la elemento radono (Rn), atomnumero 86
冬	dong1	vintro
東方	dong1 fang1	oriento
東方文化	dong1 fang1  wen2 hua4	orienta kulturo
東晉	dong1 jin4	Orienta Ĝin-dinastio; 317-420 KE
東晉十六國	dong1 jin4  shi2 liu4 guo2	Orienta Ĝin kaj la Deksesa-Reĝlandoj; Periodo de la Orienta Ĝin kaj la Deksesa-Reĝlandoj; 317-439 KE
東盟	dong1 meng2	(m-l) Asocio de Sudorient-Aziaj Nacioj; (ASAN)
東南亞國家聯盟	dong1 nan2 ya4  guo2 jia1  lian2 meng2	Asocio de Sudorient-Aziaj Nacioj; (ASAN)
冬青	dong1 qing1	(pla-sci) akvifolio; (latine, Ilex)
冬天	dong1 tian1	vintro
東西	dong1 xi1	oriento kaj nordo
東西	dong1 xi5	aĵo
冬至	dong1 zhi4	la vintra solstico
懂	dong3	kompreni
洞	dong4	kavo
動詞	dong4 ci2	verbo (gramatiko)
動詞不定式	dong4 ci2  bu2 ding4 shi4	infinitiva verbo (gramatiko)
動詞詞尾	dong4 ci2  ci2 wei3	verba finiĝo (gramatiko)
動詞短語	dong4 ci2  duan3 yu3	verba frazero (gramatiko)
動詞謂語	dong4 ci2  wei4 yu3	predikato (gramatiko)
動詞形式	dong4 ci2  xing2 shi4	verba formo (gramatiko)
動詞根	dong4 ci2 gen1	verba radiko (gramatiko)
動機	dong4 ji1	motivo; instiga kaŭzo
動脈	dong4 mai4	(anat) arterio
動名詞	dong4 ming2 ci2	gerundo (gramatiko)
動能	dong4 neng2	(fiz) kineta energio
動物	dong4 wu4	besto
洞穴	dong4 xue2	kavo
動作	dong4 zuo4	ago
都	dou1	tuta; tutaj; ĉiu
都不	dou1 bu4	eĉ ne
蚪	dou3	ranido (amfibio)
陡峭	dou3 qiao4	kruta
豆腐	dou4 fu3	toŭfuo
豆乾	dou4 gan1	sekigita toŭfuo
豆漿	dou4 jiang1	sojfaba lakto
豆乳	dou4 ru3	fermentinta toŭfuo
都	du1	urbo; urbego
都	du1	ĉefurbo
都市	du1 shi4	urbo
毒	du2	veneno
讀	du2	legi
毒	du2	drogoj; drogaĉoj
獨裁	du2 cai2	diktatoro
毒蟲	du2 chong2	(sla) drogemulo
獨到	du2 dao4	originala
毒販	du2 fan4	drogvendisto
毒狗草	du2 gou3 cao3	(pla-sci) apocino; (latine, Apocynum)
毒胡蘿蔔	du2 hu2 luo2 bo5	(pla-sci) konio makula; (latine, Conium maculatum)
毒堇	du2 jin3	(pla-sci) konio makula; (latine, Conium maculatum)
獨立	du2 li4	sendependa
毒品販子	du2 pin3  fan4 zi5	drogvendisto
毒氣	du2 qi4	venena gaso
獨身	du2 shen1	fraŭla
讀書	du2 shu1	legi; studi
獨特	du2 te4	unika; ununura
獨眼巨人	du2 yan3  ju4 ren2	Ciklopo (helena mitologio)
毒藥	du2 yao4	veneno
讀者	du2 zhe3	leganto
賭博	du3 bo2	monludi
肚	du4	(anat) ventro
妒嫉	du4 ji2	ĵaluza
獨角獸	du4 jiao3 shou4	unukornulo (mitologio)
杜鵑	du4 juan1	kukolo (birdo)
杜鵑花	du4 juan1 hua1	(pla-sci) azaleo; azalefloro (latine, Rhododendron nudiflorum)
肚臍	du4 qi2	(anat) umbiliko
毒蛇	du4 she2	vipuro; vipero (reptilio)
杜松	du4 song1	(pla-sci) junipero; juniperarbo (latine, Juniperus)
杜松樹	du4 song1 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
肚子	du4 zi5	(anat) ventro
肚子餓	du4 zi5 e4	malsata
短	duan3	mallonga
短路	duan3 lu4	(fiz) kurta cirkvito
短吻鱷	duan3 wen3 e2	aligatoro (reptilio)
短語	duan3 yu3	frazo
段	duan4	paragrafo
椴	duan4	(pla-sci) tilio; tiliarbo (latine, Tilia)
斷腸草	duan4 chang2 cao3	(pla-sci) venena sumako; (latine, Toxicodendron radicans)
段落	duan4 luo4	paragrafo
椴樹	duan4 shu4	(pla-sci) tilio; tiliarbo (latine, Tilia)
堆肥	dui1 fei2	kompoŝto
堆肥	dui1 fei2	kompoŝti
對	dui4	al
對	dui4	ĝusta
對不起	dui4 bu5 qi3	pardonon
對待	dui4 dai4	trakti
對話	dui4 hua4	interparolado
對面	dui4 mian4	kontraŭ; kontraŭe
對手	dui4 shou3	kontraŭulo
對弈	dui4 yi4	ludi tabulludon
對弈	dui4 yi4	ŝakludi
對著	dui4 zhe5	kontraŭ
蹲下	dun1 xia4	kaŭri
盾	dun4	ŝildo
多	duo1	pluraj
多	duo1	multa; multaj
多次	duo1 ci4	multfoje
多年生	duo1 nian2 sheng1	(plantoj) plurjara
多年生草本	duo1 nian2 sheng1  cao3 ben3	(plantoj) plurjara herbo
多少	duo1 shao3	kiom; kiom da; kiom multa
多細胞	duo1 xi4 bao1	multĉelula
多細胞生物	duo1 xi4 bao1  sheng1 wu4	multĉelula organismo
多一點	duo1 yi4 dian3	plu; pli multa
多雲	duo1 yun2	nuba
多種	duo1 zhong3	multspeca
奪格	duo2 ge2	ablativo; ablativa kazo (gramatiko)
蛾	e2	tineo (insekto)
鋨	e2	(kem) osmio; la elemento osmio (Os), atomnumero 76
鱷	e2	aligatoro (reptilio)
鵝	e2	ansero (birdo)
額	e2	(anat) frunto
俄狄浦斯	E2 di2 pu3 si1	Edipo (helena mitologio)
俄爾甫斯	E2 er3 fu3 si1	Orfeo (helena mitologio)
俄羅斯語	e2 luo2 si1 yu3	la rusa; la rusa lingvo
額頭	e2 tou5	(anat) frunto
額外	e2 wai4	plia; ekstra
俄文	e2 wen2	la rusa; la rusa lingvo
額葉	e2 ye4	(anat) frunta lobo
鱷魚	e2 yu2	krokodilo (reptilio)
鱷	e2 yu2	krokodilo (reptilio)
俄語	e2 yu3	la rusa; la rusa lingvo
惡	e3	naŭza
噁心	e3 xin1	naŭza
砈	e4	(kem) astato; la elemento astato (At), atomnumero 85
顎	e4	(anat) mandiblo
顎	e4	(anat) makzelo
鄂	e4	Hubejo; mallongiga formo de Hubejo
顎骨	e4 gu3	(anat) mandiblo
噩夢	e4 meng4	premsonĝo; koŝmaro
惡夢	e4 meng4	premsonĝo; koŝmaro
惡作劇	e4 zuo4 ju4	petolaĵo
而	er2	kaj
而非	er2 fei1	anstataŭ
而且	er2 qie3	cetere; krome
而且	er2 qie3	kaj
耳	er3	(anat) orelo
鉺	er3	(kem) erbio; la elemento erbio (Er), atomnumero 68
耳垂	er3 chui2	(anat) orellobo; orela lobo
耳朵	er3 duo3	(anat) orelo
耳垢	er3 gou4	(anat) orelvakso; cerumeno
耳環	er3 huan2	orelringo
耳廓	er3 kuo4	(anat) orelkonko
二	er4	mardo
二	er4	du (2)
二百	er4 bai3	ducent (200)
二分之一	er4 fen1 zhi1 yi1	duono
二年生	er4 nian2 sheng1	(plantoj) dujara
二年生草本	er4 nian2 sheng1  cao3 ben3	(plantoj) dujara herbo
二十	er4 shi2	dudek (20)
二十分鐘	er4 shi2  fen1 zhong1	dudek minutoj
二十八	er4 shi2 ba1	dudek ok (28)
二十二	er4 shi2 er4	dudek du (22)
二十九	er4 shi2 jiu3	dudek naŭ (29)
二十六	er4 shi2 liu4	dudek ses (26)
二十七	er4 shi2 qi1	dudek sep (27)
二十三	er4 shi2 san1	dudek tri (23)
二十四	er4 shi2 si4	dudek kvar (24)
二十萬	er4 shi2 wan4	ducent mil (200 000)
二十五	er4 shi2 wu3	dudek kvin (25)
