開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］
rifuĝinto	難民
rifuzi	拒絕
rigardi	看
rilato	關係
rimarki	注意
rimarkinda	值得注意，異常，非凡
rimedo	資源
ringa fingro	無名指
ringo	戒指
rinocero	犀，犀牛
ripari	修理
ripkaĝo	肋骨架
ripo	肋骨，肋
ripozi	休息
risorto	彈簧
rivero	河，江，河流，川
rizo	大米飯，飯，米，米飯，大米，稻米
rizokampo	稻田
rizomo	根狀莖，根莖
rizvino	清酒
RNA	核糖核酸
robinio	洋槐樹，刺槐，刺槐樹
roboto	機器人
rodio	銠
roko	岩石
rolo	角色
romano	小說
romantika	浪漫
romia mitaro	羅馬神話
romia mitologio	羅馬神話
rompi	打破，弄壞，打碎，破壞
rompiĝema	易碎，脆弱
rompita	壞了，弄壞的，破碎的
rompŝtelisto	竊賊
rondo	圓形
ronĝulo	齧齒類
rosmaro	海象
rozfloro	玫瑰，玫瑰花，月季花，薔薇，薔，玫，薔薇花，瑰
rozkolora	粉紅色，粉，粉紅
rozo	薔，玫，玫瑰，薔薇花，薔薇，瑰，月季花，玫瑰花
rubando	絲帶
rubidio	銣
ruboj	垃圾
rubujo	垃圾桶
rudbekifloro vila	黑心菊，黑心菊花，金光菊，金光菊花
rudbekio vila	金光菊，金光菊花，黑心菊花，黑心菊
ruĝa	紅色，紅
ruĝa giganto	紅巨星
Ruĝa Krescento	紅新月會
Ruĝa Kruco	紅十字會
ruĝa ligno	紅杉樹，紅杉
ruĝa sanga korpusklo	紅血球，紅細胞
ruĝa stelo	紅星
ruĝgorĝulo	知更鳥
ruĝiĝi	臉紅
ruĝligno	紅杉，紅杉樹
ruinigi	破壞
rulseĝo	輪椅
rusti	生鏽
rusto	銹，鐵鏽
rutenio	釕
ruza	狡猾
ruzaĵo	詭計
ruzo	詭計
sabato	星期六，周六，六，禮拜六
sablero	沙粒
sablo	沙子
ŝablono	模式
sadisto	虐待狂
ŝafaĵo	羊肉
ŝafido	小羊
ŝafino	母羊
ŝafo	羊
saĝeco	智慧
saĝo	智慧
sago	矢，箭
saĝodento	智齒
ŝajne	顯然
ŝajni	好像
ŝajni ke	好像
ŝakludi	對弈，弈，下棋
ŝakludo	棋，西洋棋
sako	袋子
ŝako	西洋棋，棋
ŝakpeco	棋，棋子
ŝaktabulo	棋盤
sala	鹹的
sala akvo	鹹水
sala gusto	鹹味
salajro	薪水
sali	撒鹽，加鹽
salikarbo	楊柳，柳樹，楊柳樹，柳
saliko	柳，楊柳樹，柳樹，楊柳
salikoko	蝦子，蝦
salivi	垂涎
salivo	口水，唾液
salivtuketo	圍嘴
salivumi	流口水
salmo	鮭魚，鮭
salo	鹽，鹽巴
salsolo	風滾草
ŝalti lampon	開燈，開電燈，打開電燈
ŝaltilo	開關
saluto	招呼
saluton	嗨，你好
sama	同，一樣
samario	釤
sambukarbo	接骨木，接骨樹，接骨木樹
sambuko	接骨木，接骨木樹，接骨樹
samĉambrano	室友
same kiel antaŭe	依舊，依然，照樣，依，照舊
samlandano	同胞
samnoma	同音詞，同音字
ŝampuo	洗髮精
samseksema	同志
samsonoras kiel	聽起來像
samspeca	類似
samtempe	同時
sana	健康
Ŝandongo	山東，魯
Ŝang-dinastio	商朝
ŝanĝi	改變
sangi	流血
ŝanĝiĝi	變
ŝanĝiĝo	變化
ŝanĝo	變化
sango	血液
sangoĉelo	血細胞，血球
sangocirkula sistemo	迴圈系統
sangoverŝo	流血
Ŝanhajo	上海，山西，晉
sankta	神聖
Sankta Romia Imperio	神聖羅馬帝國
Sanktejo Jasukuni	靖國神社
sano	健康
Ŝanŝjio	滬
Sanskrito	梵文，梵語
sapo	肥皂
sardelo	沙丁魚
sarkasma	諷刺
ŝarko	鯊魚，鯊
satelito	衛星
ŝati	喜歡，欣賞
Saturno	土星
ŝaŭmo	泡沫
sceno	場面
sciencisto	科學家
scienco	科學
scii	知，知道
sciiĝi	得知
sciigi	通知
scio	知識
scipovi	會
sciuro	松鼠
scivola	好奇
se	如果
se vi ne zorgas	如果你不介意的話
sed	但，可，可是，但是
seĝo	椅子
ŝejko	酋長
seka	乾，乾的
sekala pano	黑麵包
sekalo	裸麥，黑麥
sekalpano	黑麵包
sekeco	乾燥
sekiga tuko	擦乾杯盤餐具等的抹布
sekigi	使變乾
sekiĝi	變乾
sekigita toŭfuo	豆乾
sekretariejo	秘書處
Sekretariejo de UN	聯合國秘書處
sekretario	秘書
sekreto	秘密
sekso	性，性別
seksvivo	性生活
sekundo	秒鐘，秒
sekura	安全
Sekureca Konsilio	安理會
sekureco	安全性
sekvaj	下列
sekvanta	下個
sekve	於是
sekve de tio	於是
sekvojarbo	紅杉樹，加州紅木，巨杉樹，世界爺樹，巨杉，水杉樹，世界爺，紅杉，水杉
sekvojo	加州紅木，世界爺，紅杉樹，世界爺樹，水杉樹，巨杉樹，巨杉，水杉，紅杉
seleno	硒
ŝelo	外殼，皮
selo	鞍，馬鞍
semajnfino	周末
semajno	星期
semikonduktaĵo	半導體
semo	籽，種子，子，核，種
sen	無
senĉesa	不斷
senĉese	不斷，不停
senco	意義
sendanĝera	安全
sendanĝereco	安全性
sendependa	獨立
sendi	寄給
senduba	無庸置疑
sendube	無疑
senĝena	不客氣
senhaŭtigi	剝皮
senhava	窮的，窮苦的，窮困的
senhaveco	窮苦，窮困
senhavigi	剝奪，使失去
senhavulo	貧民，窮人
senhelpa	無助，無依無靠
senhonta	無恥
senhonte	無恥地，不知羞恥地
Ŝenjango	沈陽
senkapigi	斬首
senkulpa	無辜
senlabora	失業
senlaboreco	失業
senmorta	長生不老
sennoma fingro	無名指
senpaga	免費
senpolvigi	除塵，去掉～的灰塵
senprobleme	順利
senŝeligi	剝皮，剝殼，去殼，削皮
senŝeligita	去殼的
senŝeligita rizo	糙米
sensenca	荒唐的，荒謬的
sensencaĵo	荒謬的事，荒唐的事
sensenceco	荒謬
sensignifa	無意義的
Ŝenŝjio	陝，陝西
sensperta	無經驗的，不熟練的
senspira	喘不過氣來的，氣喘吁吁的
sentaŭga	沒用，無用，不中用，毫無用處
sentaŭgulo	一無是處的人，沒出息的人，無用的人，飯桶，廢物
sentema	敏感
senti	覺得
sento	感覺
senutila	沒用，無用
senvestiĝi	脫衣服
sep	七
sep mil	七千
sep miliardo	七十億
sep miliono	七百萬
sepa	第七
sepcent	七百
sepcent mil	七十萬
sepcent miliono	七億
sepdek	七十
sepdek du	七十二
sepdek kvar	七十四
sepdek kvin	七十五
sepdek mil	七萬
sepdek miliono	七千萬
sepdek naŭ	七十九
sepdek ok	七十八
sepdek sep	七十七
sepdek ses	七十六
sepdek tri	七十三
sepdek unu	七十一
sepdeka	第七十
sepfoje	七次
sepoble	七倍
sepono	七分之一
septembro	九月
ŝercema	愛開玩笑
ŝerci	開玩笑
serĉi	追求，找
ŝerco	笑話
serialo	連續劇
serio	系列
serioza	嚴肅
serpento	蛇
servi	服務
servo	服務
servu vin	請便
ses	六
ses mil	六千
ses miliardo	六十億
ses miliono	六百萬
sesa	第六
sescent	六百
sescent mil	六十萬
sescent miliono	六億
sesdek	六十
sesdek du	六十二
sesdek kvar	六十四
sesdek kvin	六十五
sesdek mil	六萬
sesdek miliono	六千萬
sesdek naŭ	六十九
sesdek ok	六十八
sesdek sep	六十七
sesdek ses	六十六
sesdek tri	六十三
sesdek unu	六十一
sesdeka	第六十
sesfoje	六次
sesoble	六倍
sesono	六分之一
Seulo	漢城，首爾
severa	嚴，嚴格
severe	嚴
sezono	季節
sfagnoj	水蘇
Shijiazhuang	石家莊
ŝi	她
ŝia	她的
ŝia propra	她自己的
Siĉŭano	川，四川
sidejo	座位
sidi	坐
sidi ĉetable	入席
sidiĝi	坐下
sidloko	座位
sidvango	大臀肌，屁股
signalo	信號
signifi	代表，表示
signifo	意義，含義，意思
signo	符號，字
Signolingvo	手語
sikhismo	錫克教
sikomorarbo	美國梧桐樹，美國梧桐
sikomoro	美國梧桐，美國梧桐樹
silabo	音節
ŝildo	盾
silento	沉默
silicio	矽，硅
simboli	象徵
simbolo	象徵
simila	類似，似，很像，像
simileco	明喻
simio	猴，猴子
simpla	簡單
simple	簡直
ŝin	她
sin intermeti	干涉
sincera	誠懇
sincereco	誠意
singarda	小心
singardema	小心
sinĝena	害羞
sinĝenema	害羞
Ŝinĝjango	新疆，新
singulara finaĵo	單數詞尾
singulara pronomo	單數代詞，單數代名詞
singularo	單數
sinonimo	同義字，同義詞
sintakso	句法
sinteno	態度
sinuso	鼻竇
ŝipestro	船長
ŝirdento	裂齒
sireno	海牛，美人魚
siringfloro	紫丁香花，紫丁香
siringo	紫丁香花，紫丁香
ŝirmejo	避難所，庇護所
ŝirmi	保護，庇護
ŝirmilo	避難所，庇護所
ŝirmo	避難所，庇護所
ŝirmtegaĵo	防塵布，防塵罩，防護罩
sistemo	系統
sitelo	水桶
situacio	情況，場合
situi	位於
Ŝja-dinastio	夏朝
Ŝjiano	西安
Ŝjiningo	西寧
skandalo	醜聞
skandio	鈧
skapolo	肩胛骨
skarabo	甲蟲
skatolmalfermilo	開罐器
skatolo	盒子
skeleta sistemo	骨骼系統
skeleto	骷，髏，骷髏，骨架，骨骼
sklavo	奴，隸，奴隸
skorpio	蠍子，蠍
skribi	寫，寫字
skribmaŝino	打字機
skribo	文
skribotablo	寫字檯，書桌
skribtablo	書桌
skulptaĵo	彫刻品，雕像
sledo	雪橇
ŝlosi	鎖上
ŝlosila	關鍵
ŝlosilo	鑰匙
ŝlosita	鎖住的，鎖定的
ŝloso	鎖頭
smeraldo	翡翠
ŝminki	化妝
ŝminko	化妝品
ŝnuro	繩索
socia kontrakto	社會契約
socio	社會
sofo	沙發
soforarbo	槐樹，槐
soforo	槐樹，槐
soifa	口渴
sojfaba lakto	豆漿
sojfabo	大豆，黃豆
soldato	兵，軍人，卒
soleca	寂寞
solidago	秋麒麟草
solidigi	固化
solido	固體，固體
solvi	解決
somero	夏，夏天
sonaparato	音響
sonbendo	卡帶，錄音帶
Song-dinastio	宋朝
sonĝi	夢見，做夢，夢到
soni	聽起來
soni simile	聽起來很像
sono	聲音
sonorilo	鈴
sonserpento	響尾蛇
sopiri	渴望
sorbi	吸收
sorĉistino	巫婆
sorĉisto	巫師
sorparbo	歐洲花楸樹，歐洲花楸，花楸，花楸樹
sorto	命運，命
ŝoseo	高速公路
sovaĝa	蠻，野蠻
sovaĝa karoto	野胡蘿葡
sovaĝa pomarbo	西府海棠樹，海棠，西府海棠，海棠樹
ŝovelilo	鏟子
spaco	空間
spacotempo	時空
spadfiŝo	旗魚
ŝpari	省
ŝpari monon	省錢，存錢
speciala	特，特別
speciala administra regiono	特別行政區
Speciala Relativeco	狹義相對論
speco	種類，種
spegulo	鏡，鏡子
spekti filmon	看電影
sperti	經歷
sperto	經驗
spertulo	專家
spina medolo	脊椎骨，脊，脊骨，脊髓
spino	脊椎
spiono	間諜
spira sistemo	呼吸系統
spiri	呼吸
spirito	心靈，精神
spongo	海綿
sporto	體育
spuro	跡
ŝranko	櫥櫃
ŝraŭbi	擰螺絲，擰螺釘
ŝraŭbilo	扳手，活動扳手
ŝraŭbingo	螺母，螺帽
ŝraŭbo	螺絲，螺釘
ŝraŭbŝlosilo	扳手，活動扳手
ŝraŭbtenilo	老虎鉗
ŝraŭbturnilo	螺絲起子，螺絲刀
ŝtala	鋼製的，鋼鐵的
ŝtalo	鋼鐵
stameno	雄蕊
standardo	國旗
stano	錫，錫
ŝtataneco	國籍
ŝtatestro	國家元首
ŝtatigi	使國有化
ŝtatigo	國有化
ŝtato	國家
stato	狀態，狀態
stato de materio	相態，物態，相
statuo	雕像
stebkovraĵo	被子
ŝtele	偷偷地，偷偷摸摸地
ŝteli	偷，竊取
ŝteliri	偷走，偷去
ŝtelisto	小偷
ŝtelo	偷竊，盜竊
stelo	星，恆星，星星
ŝtelrigardi	偷看
stelulo	明星
sterko	肥料
sternumo	胸骨
ŝtipo	木塊
stomako	胃
ŝtonego	岩石
ŝtonhakisto	石匠
ŝtono	石頭
ŝtopilingo	插座
ŝtopilo	插頭
stranga	怪，奇怪，奇
strategio	策略
strato	街道
strigo	貓頭鷹
striko	罷工
strikta	緊
strio	長條，條紋
stroncio	鍶
strukturo	結構
ŝtrumpeto	襪子
struto	鴕鳥，鴕
studanto	學生
studento	生，大學生
studi	學習
studi	讀書，學習，複習，念書
ŝtuparo	臺階，階梯，樓梯，梯
ŝtupetaro	梯子，梯
ŝtupo	級，梯階，階
Ŝu-Reĝlando	蜀國
sub	以下，下，之下，下面
subbrako	腋，腋窩，胳肢窩
subĉemizo	汗衫
subhaŭta	皮下
subhaŭta histo	皮下組織
subita	忽然
subite	突然，忽然
subjektiva	主觀
subjekto	主語
subjunkcio	虛擬語氣
subskribi	簽，簽名
subskribi packontrakton	簽和約
substantiva vortfinaĵo	名詞詞尾
substantivo	體詞語，名詞
substreki	強調
subŝtupare	樓下
subtaso	茶托，碟子
subtegmentejo	閣樓
subtegmento	閣樓
subteni	支持
subteno	支持
subtera	地下
subtitolo	字幕
subtitolo de filmo	電影字幕
subvencio	補助金
Suda Song-dinastio	南宋
sudo	南方
Suej-dinastio	隋朝
suferanto	被害人
suferi	忍耐，忍受，受苦
suffiĉe	夠，足夠
sufiĉe	蠻，挺
sufiĉe bona	蠻好，挺好
sufiĉega	豐富
sufikso	後綴，字尾
sugesti	建議
sukcese	順利
sukcesi	成功
sukceso	成功
suko	樹液
ŝulaĉo	鞋帶
ŝuldi	欠缺
sulfuro	硫
sulka	皺皺的
ŝultro	肩，肩膀
sumakarbo	漆樹
sumako	漆樹
suna	晴朗
sunbrila	晴朗
sunleviĝo	日出
sunmakulo	太陽黑子
Suno	太陽
suno	日
sunsistemo	太陽系
sunsubiro	日落
sunvitroj	太陽鏡
ŝuo	鞋子
supera	超級
superhomo	超人
superi	超過
superjaro	閏年
superkondukanto	超導體
superlativo	最高級
supernatura	超自然
supernovao	超新星
superrego	霸權
superstiĉa	迷信
superstiĉo	迷信
superŝtupare	樓上
supervendejo	超市
supraĵo	錶面
supre	上面，樓上
sur	以上，之上，上，上面
surfaco	錶面
surgenuiĝi	跪下
surmeti	冠
surmeti ĉapelon	冠
suro	腿肚子
surpriza	驚人
surprizita	驚訝
surprizo	驚喜
surrenaj glandoj	腎上腺
surtuto	大衣
surverŝi	澆水，澆
survoje	在路上
suspektato	嫌疑人
ŝviti	流汗
ŝvito	汗，汗水
T-ĉemizo	體恤
tabako	煙草
tablo	桌，桌子
tablotuko	桌布
tabulludo	棋盤游戲，圖版游戲
tabulo	板子，木板
tagiĝo	黎明，黎
taglibro	日記
tagmezo	中午，午
tago	天，日
Taijuan	太原
taja skribo	泰文
Tajpeo	臺北
tajpisto	打字員
Tajvano	臺灣，台
taksi	估計
taksio	計程車
taksusarbo	紫杉，紅豆杉，紫杉樹，紅豆杉樹
taksuso	紫杉樹，紫杉，紅豆杉樹，紅豆杉
talento	才能
talio	腰部，鉈，腰
talpo	鼴，鼴鼠
tamarindarbo	羅望子樹，羅晃子樹，酸果樹
tamburo	鼓
tamen	不過
Tang-dinastio	唐朝
tantalo	鉭
tapiro	貘
tapiŝeto	攤子
tapiŝo	地毯
taso	杯子，茶杯，杯
taso da teo	一杯茶
taŭgi	適合
taverno	酒店
tearbo	茶樹
teatraĵo	劇，戲劇
teatraĵserio	連續劇
teatro	戲院
teda	無聊
teejo	茶館
tegi	覆蓋
tegilo	防護罩，覆蓋保護層
tegmento	屋頂
teknecio	鍀
tekniko	技術
teknologio	科技
teko	手提箱
tekruĉo	茶壺
tekstotraktado	文字處理
tektonarbo	柚木樹
tektono	柚木樹
telefon-numero	電話號碼
telefonbudo	電話亭
telefondrato	電話線
telefoni	打電話
telefoni al	打電話給
telefonkarto	電話卡
telefonlibro	電話簿
telefono	電話
teleregilo	遙控器
teleskopo	望遠鏡
televida programo	電視節目
televida serialo	電視連續劇
televida stacio	電視臺
televida teatraĵo	電視劇
televida teatraĵserio	連續劇，電視連續劇
televidaj novaĵoj	電視新聞
televidi	看電視
televidila ekrano	電視屏幕
televidilo	電視機
televido	電視
teluro	碲
temo	話題
temperamento	脾氣
temperaturo	溫度
tempio	太陽穴
tempo	時光，時，時間
tempomaŝino	時光機
temporala lobo	顳葉
Temuĝin	鐵木真
tendenco	趨勢
tendeno	腱，肌腱
tendo	帳篷
tenejo	倉庫
teni	拿著，維持
tenilo	把手
tenso	時態
teo	茶
teorio	理論
teorio de Praeksplodo	大爆炸理論
teorio de relativeco	相對論
tepoto	茶壺
Terakota Legio	兵馬俑
terbio	鋱
teritorio	領土
terkulturo	農業
termino	術語
termito	白蟻
termometro	溫度表
terni	打噴嚏
terno	噴嚏
tero	土地，土壤
Tero	地球
teroristo	恐怖分子
terpoma kaĉo	土豆泥，馬鈴薯泥
terpomo	土豆，馬鈴薯
terpomsenŝeliga tranĉilo	土豆削皮器
terrato	土鼠
Terstelo	土星
tertremo	地震
terura	壞透了
terure	要命
teruro	恐怖
testamento	遺囑
testo	考試
testudo	烏龜
tetaso	茶杯
Tezeo	忒修斯
tezo	論文
tia	那種，然，那樣，這麼
tial	因此，所以
tial ke	既然
tiam	當時
tiamaniere	那樣
Tian An Men-placo	天安門廣場
tibeta skribo	藏文
Tibeto	西藏，藏
tibio	脛骨
tie	那裏
tie kaj tie	到處，處處
tiel	這麼
tiele	那樣地，如此
tifao	香蒲
tifono	颱風
tigro	老虎，虎
tigrolilifloro	捲丹，捲丹花
tigrolilio	捲丹花，捲丹
tikli	搔癢
tiliarbo	椴樹，椴
tilio	椴，椴樹
tima	害怕
timema	膽怯的，害羞的
timi	怕，害怕，懼怕
timigi	嚇，使驚嚇，使害怕
timo	恐懼
timo	恐懼
timoteo	貓尾草，梯牧草
timpano	鼓膜
tineo	蛾，飛蛾
tinkturo	染料
tinuso	鮪魚，鮪
tio	那，那個
tio estas	那是
tio ne gravas	不要緊，沒關係
tio-ĉi	這，這個
tio-ĉi estas	這是
tiom bona	那麼好
tiom grava	那麼嚴重
tiotempe	當時
tiraneco	暴政
tirano	暴君
tirkesto	抽屜
tiroida glando	甲狀腺
titano	鈦
tiu	那
tiu speco de	那種
tiu-ĉi	這，這種，這個
tiuj	那些
tiuj-ĉi	這些
tiuokaze	那麼，那樣，在這種情況下
Tjanĝino	天津，津
tolerema	忍心
toleri	容忍，忍耐
tolmarko	洗衣店作的標籤
tolo	布
tombo	墳墓
tondilo	剪刀
tondro	雷聲
tondro kaj fulmo	雷電
tonsiloj	扁桃腺
torako	胸部
torio	釷
tornistro	背包
toŭfuo	豆腐
tradicia	傳統
traduki	翻譯
tradukisto	翻譯者
traduko	譯文
trafi	遇到
trafiko	交通
tragedio	悲劇
traĥeo	氣管
trajno	火車
traklisto	曲目
traktato	公約，條約
Traktato de Versajlo	凡爾賽和約，凡爾賽條約
trakti	處理，對待
traktoro	拖拉機
tramhaltejo	地鐵站
tranĉilo	一把刀
tranĉilo kaj forko	刀叉
tranĉodento	門齒
tranĉtabulo	砧板
transitiva verbo	及物動詞
transloĝiĝi	搬家
trapeza muskolo	斜方肌
traverŝilo	漏勺，濾器
tre	很
tre ĝena	很煩，很麻煩
treege	非常
tremi	顫抖
tremolarbo	楊，楊樹
tremolo	楊樹，楊
trezora	寶貴
tri	三
tri mil	三千
tri miliardo	三十億
tri miliono	三百萬
tri minutoj	三分鐘
Tri Reĝlandoj	三國
tria	第三
tria persono	第三人秤
triangulo	三角形
tribo	部落
tricent	三百
tricent mil	三十萬
tricent miliono	三億
tricepso	三頭肌
tridek	三十，卅
tridek du	卅二，三十二
tridek kvar	卅四，三十四
tridek kvin	三十五，卅五
tridek kvin minutoj	三十五分鐘
tridek mil	三萬
tridek miliono	三千萬
tridek minutoj	三十分鐘
tridek naŭ	三十九，卅九
tridek ok	三十八，卅八
tridek sep	卅七，三十七
tridek ses	三十六，卅六
tridek tri	三十三，卅三
tridek unu	卅一，三十一
trideka	第三十
trifoje	三次
trifolifloro	蓿，苜蓿，馬草，白花三葉草，酢漿草，苜蓿花，苜，三葉草
trifolio	酢漿草，三葉草，白花三葉草，苜，馬草，蓿，苜蓿花，苜蓿
trikapa muskolo	三頭肌
trinkaĵo	飲料
trinkejo	酒吧
trinki	喝
trioble	三倍
triono	三分之一
tritiko	小麥
Tritono	海衛一
triviala	粗魯
trivialaĵo	粗話
tro	太
troigi	誇張
Troja milito	特洛伊戰爭
trompi	欺騙
tropeolfloro	金蓮花，旱金蓮花，金芙蓉花，金芙蓉
tropeolo	金芙蓉花，金芙蓉，旱金蓮花，金蓮花
tropeza	超重
trovi	找到
trunka ĉelo	乾細胞
trunko	樹幹，幹，軀幹
truo	孔
TTT	萬維網
tubo	管
tuj	馬上，立刻
tuko	布，巾，布料
tulio	銩
tulipfloro	鬱金香花，鬱金香
tulipo	鬱金香，鬱金香花
tunelo	地道
turisto	觀光客
turmenti	欺負，欺
turnakvo	漩渦
turo	車
turto	斑鳩
tusi	咳嗽
Tut-Tera Teksaĵo	萬維網
tuta	全，都
tuta mondo	全世界
tuta nomo	全名
tutaj	全，都
tute	全部，完全
tutmonda	全球
tutmondaj	全世界
tutmondigo	全球化
tutnova	嶄新
Ŭej-Reĝlando	魏國
ujo	盒子
ulaĉo	鬼
ulmarbo	榆，榆樹
ulmo	榆，榆樹
ulno	尺骨
ulo	鬼
umbilika ŝnuro	臍帶
umbiliko	肚臍，臍
umearbo	梅，梅樹
umefloro	梅花
Unesko	聯合國教育科學文化組織，聯合國教科文組織，教科文組織
ungo	手指甲，腳趾甲
unika	獨特
universala ŝraŭbilo	活動扳手
universala ŝraŭbŝlosilo	活動扳手
universitato	大學
universo	宇宙
unu	一
unu la alian	互相…，相互…，互相，相互
unu minuto	一分鐘
unua	第一
unua persono	第一人秤
unuafoje	首度
unuafojo	第一次
unuĉelula	單細胞
unuĉelula organismo	單細胞生物
unufoje	一次
unufoje denove	再一次
Unuiĝintaj Nacioj	聯合國
unujara	一年生
unujara herbo	一年生草本
unukornulo	獨角獸
ununokta afero	一夜情
ununura	獨特
unuo	單位
unuoble	一倍
uranio	鈾
Urano	天王星，烏拉諾斯
urbdomo	市政府
urbego	都
urbestro	市長
urbeto	城鎮
urbo	都，都市，市，城市
urbocentro	市區，市中心
Urduo	烏爾都語
urinveziko	膀，膀胱，胱
urso	熊
urtiko	蕁，蕁，蕁麻，蕁麻
Urumĉio	烏魯木齊
utera cerviko	子宮頸
utero	子宮
utila	好用
Ŭu-Reĝlando	吳國
uvulo	小舌
uzanto	用戶
uzi	採用，吸，使用，用
uzi drogojn	吸毒
uzo	用途
vaga nervo	迷走神經
vagi	流浪
vagonaro	列車，火車
vagono	車廂，火車車廂
vagulo	流浪漢
vaksflava	蠟黃
vakskandelo	蠟燭
vakso	蠟
vakstolo	油布
valizo	行李箱
valora	寶貴
valoro	價值
vampiro	吸血鬼
vanado	釩
vango	面頰，頰，臉頰
vangobarbo	絡腮鬍子
vangofrapi	打耳光，拍擊，摑
vangofrapo	耳光，拍擊聲，摑
vangoharoj	絡腮鬍子
vangosto	顴骨，顴
vanta	虛榮
vaporo	蒸氣
varfo	碼頭
varma	熱，溫暖
varmbotelo	熱水瓶
varmo	熱量
Varsovia Kontrakto	華約組織，華沙條約組織，華約
Varsovia Traktato	華沙條約組織，華約，華約組織
vazlavilo	洗碗機
vazlavmaŝino	洗碗機
vejĉi-ludo	弈，圍棋
vejĉio	圍棋
vejno	靜脈
vekhorloĝo	鬧鐘
veki	叫醒，吵醒，使人醒來
vekiĝi	醒來，清醒，清醒過來
vendejo	店鋪，商店，店
vendi	推銷，售賣，售，販賣，賣，販
vendi drogojn	販毒
vendisto	店員，推銷員
vendredo	星期五，禮拜五，周五，五
venena gaso	毒氣
venena sumako	斷腸草，野葛，鉤吻
veneni	下毒
veneno	毒，毒藥
venĝo	報仇
veni	來
veni de	來自
veni por akompani	迎接
venigi	召喚，召來
venki	打敗，贏得
venkiĝi	敗仗，被打敗
venkinto	勝利者
venko	勝利
venteto	微風
venti	吹風
ventmuelejo	風車
vento	風
ventolilo	電風扇
ventra	腹部的，肚子的
ventriklo	心室
ventro	腹部，肚子
ventrodoloro	肚子痛
ventumi	扇，扇風
ventumilo	扇子，風扇
Venuso	維納斯，金星
vera	真正，真實
verba finiĝo	動詞詞尾
verba formo	動詞形式
verba frazero	動詞短語
verba radiko	動詞根
verbo	動詞
verda	綠色，綠
vere	真的
vere tre	真的很
vereco	真理
vergi	鞭打
vergo	棒，棍，杖，鞭子
verkisto	作者
vermo	蚓，蚯蚓，蚯
vero	真相，現實，真理
Versajla Packontrakto	凡爾賽和約
verŝajne	大概
verŝi	倒（流體等）
versio	版本
vertebra kolono	脊，脊柱
vertebro	椎骨
vertebrulo	脊椎動物
verukapro	疣豬
veruko	疣
vespermanĝi	吃晚飯
vespermanĝo	晚飯
vespero	晚，晚上
vesperto	蝙蝠，蝠，蝙
vespo	黃蜂
Vesta	維斯塔
vestarko	衣架
Vestfalia Packontrakto	威斯特法倫和約
veŝto	背心
vestoj	衣服
veterinformoj	天氣預報
vetero	天氣
vetkuri	賽跑
veturigi	開車
veturigi aŭton	開車
veturigisto	駕駛
veturilo	交通工具，車
veziketo	水皰
veziko	氣泡，水泡
vi	你們，你
vi mem	你自己，你們自己
vi pravas	你說得對
via	你的…，你們的…
via propra	你們自己的，你自己的，你們自己的
viando	肉
videobendo	錄影帶
vidi	見，見到，看見，看到
vidpunkto	觀念，觀點，看法
viktimo	被害人
vilaĝo	村莊
vin	你，你們
vinberarbo	葡萄樹，葡萄藤
vindi	包扎，包，裹
vindinfano	嬰兒
vindotuko	襁褓
vino	葡萄酒
vintro	冬天，冬
violfloro	紫羅蘭，紫羅蘭花
violo	紫羅蘭，紫羅蘭花
violono	小提琴
vipero	毒蛇
vipo	鞭子
vipuro	毒蛇
vir-	雄，公
vira	陽性，雄，公，男性
vira fenikso	鳳
vira genro	陽性
vira substantivo	陽性名詞
vira vorto	陽性詞
virbovo	公牛
virĉevalo	雄馬，公馬
virino	女人
virkato	公貓
virkoko	公雞
viro	男人
virŝafo	公羊
virseksa	男性，雄性，雄
virto	道德
viruso	病毒
viŝi	抹，擦
visit	拜訪，訪問，來訪
visko	槲寄生
visterifloro	紫藤花，藤蘿，藤蘿花，紫藤
visterio	紫藤花，紫藤，藤蘿，藤蘿花
viŝtuko	抹布
vitro	玻，璃，玻璃
vivaĵo	生物
viveca	活潑
vivi	生活
vivo	生命
vizaĝo	臉，面
viziteti	探望，順便來訪
Vjetnamio	越南
voĉdoni	投票
voĉo	語態
vojaĝanto	旅客
vojaĝi	旅游
vojaĝo	旅行，旅程
vojkruciĝo	路口
vojo	馬路，道路
vokala litero	母音字母
vokalo	母音，母音
vokativa kazo	呼格
vokativo	呼格
volframo	鎢
voli	想要，要
volo	意志，願望
volonta	自願
volonte	願意
vomi	嘔吐
vortaro	字典，詞典
vortklaso	詞類
vorto	字，詞，單字，單詞
vortodeveno	語源
vortoj	言語
vortordo	詞序，字序
vortprovizo	字彙
vosto	尾，尾巴
Vuhano	武漢
Vulkano	伏爾甘
vulkano	火山
vulpo	狐，狐狸
zebro	斑馬
Zeŭso	宙斯
zinko	鋅
zirkonio	鋯 
zono	皮帶
zorga	小心
zorgema	小心
zorgi	管，介意
