开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
超市	chao2 shi4	supervendejo
朝鲜话	chao2 xian1 hua4	la korea; la korea lingvo
朝鲜文	chao2 xian1 wen2	la korea; la korea lingvo
朝鲜语	chao2 xian1 yu3	la korea; la korea lingvo
朝向	chao2 xiang4	al
嘲笑	chao2 xiao4	moki; primoki
朝语	chao2 yu3	la korea; la korea lingvo
炒鱿鱼	chao3  you2 yu2	(sla) maldungi
吵架	chao3 jia4	disputi
吵闹	chao3 nao4	brua
车	che1	veturilo
车	che1	aŭto
车辆	che1 liang4	aŭto
车子	che1 zi5	aŭto
梣	chen2	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
沉默	chen2 mo4	silento
梣树	chen2 shu4	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
陈述语气	chen2 shu4  yu3 qi4	indikativo modo (gramatiko)
陈述式	chen2 shu4 shi4	indikativo (gramatiko)
尘土	chen2 tu3	polvo
衬衫	chen4 shan1	ĉemizo
橙	cheng2	(pla-sci) oranĝarbo; (latine, Citrus sinensis)
成	cheng2	iĝi
城堡	cheng2 bao3	kastelo
成都	cheng2 du1	Ĉengduo; ĉefurbo de la ĉina provinco Siĉŭano
程度	cheng2 du4	nivelo
成分	cheng2 fen4	konsistigaĵo; ingredienco
成功	cheng2 gong1	sukceso; sukcesi
成绩	cheng2 ji1	noto
成吉思汗	Cheng2 ji2 si1  han4	Ĝingis-Ĥano; Ĝenĝis Ĥano
成见	cheng2 jian4	antaŭjuĝo
成就	cheng2 jiu4	elfaro
诚恳	cheng2 ken3	sincera
承诺	cheng2 nuo4	promeso
成人	cheng2 ren2	plenkreskulo
成人	cheng2 ren2	plenkreska
承认	cheng2 ren4	konfesi; koncedi
诚实	cheng2 shi2	honesta
城市	cheng2 shi4	urbo
成熟	cheng2 shu2	matura
橙树	cheng2 shu4	(pla-sci) oranĝarbo; (latine, Citrus sinensis)
成为	cheng2 wei2	iĝi
橙星	cheng2 xing1	(ast) oranĝa stelo
诚意	cheng2 yi4	sincereco
成语	cheng2 yu3	idiotismo; kvarsigna idiotismo; kvarsigna ĉina esprimo (gramatiko)
成员	cheng2 yuan2	ano
成长	cheng2 zhang3	kreskado
城镇	cheng2 zhen4	urbeto
惩罚	cheng3 fa2	puno
吃	chi1	manĝi
吃晚饭	chi1  wan3 fan4	vespermanĝi
吃午饭	chi1  wu3 fan4	meztagmanĝi
吃早餐	chi1  zao3 can1	matenmanĝi
迟到	chi2	malfruiĝi
迟	chi2	malfrua
迟	chi2	malrapida
迟钝	chi2 dun4	malakra
池塘	chi2 tang2	lageto
齿	chi3	(anat) dento
齿根	chi3 gen1	dentoradiko
尺骨	chi3 gu3	(anat) ulno
齿冠	chi3 guan1	dentokrono
齿轮	chi3 lun2	dentrado
齿龈	chi3 yin2	(anat) dentokarno
翅	chi4	naĝilo de ŝarko
翅	chi4	flugilo
翅膀	chi4 bang3	flugilo
赤杨	chi4 yang2	(pla-sci) alno; alnarbo (latine, Alnus)
赤杨树	chi4 yang2 shu4	(pla-sci) alno; alnarbo (latine, Alnus)
冲动	chong1 dong4	impulsiĝema
冲突	chong1 tu1	konflikto
虫	chong2	insekto
崇拜	chong2 bai4	adori
重庆	chong2 qing4	Ĉongĉingo; la ĉina urbo Ĉongĉingo
虫子	chong2 zi5	insekto
抽	chou1	fumi
抽屉	chou1 ti4	tirkesto
抽象	chou1 xiang4	abstrakta
抽烟	chou1 yan1	fumi
抽烟	chou1 yan1	fumi; fumi cigaredon
仇人	chou2 ren2	malamiko
丑	chou3	malbela
丑陋	chou3 lou4	malbela
丑闻	chou3 wen2	skandalo
臭鼬鼠	chou4 you4 shu3	mefito (mambesto)
出	chu1	eliri
出	chu1	el
出版	chu1 ban3	eldoni
出版社	chu1 ban3 she4	eldonejo
出发	chu1 fa1	eliri
出访	chu1 fang3	kuirejo
出口	chu1 kou3	elirejo
出来	chu1 lai2	elveni
出去	chu1 qu4	eliri
出生	chu1 sheng1	naskiĝi
出生日期	chu1 sheng1  ri4 qi1	naskiĝdato
出现	chu1 xian4	aperi
出租	chu1 zu1	luebla
除	chu2	krom
厨	chu2	kuirejo
蜍	chu2	bufo (amfibio)
橱窗	chu2 chuang1	montrofenestro
厨房	chu2 fang2	kuirejo
除非	chu2 fei1	krom se
橱柜	chu2 gui4	ŝranko
雏菊	chu2 ju2	(pla-sci) lekanto; lekantfloro (latine, Bellis perennis)
雏菊花	chu2 ju2 hua1	(pla-sci) lekanto; lekantfloro (latine, Bellis perennis)
除了…外	chu2 le5 wai4	krom
除了…以外	chu2 le5 yi3 wai4	krom
除了…之外	chu2 le5 zhi1 wai4	krom
厨师	chu2 shi1	kuiristo
除外	chu2 wai4	krom
除…外	chu2 wai4	krom
处罚	chu3 fa2	puni
处理	chu3 li3	trakti
川	chuan1	Siĉŭano; mallongiga formo de Siĉŭano
川	chuan1	rivero
穿山甲	chuan1 shan1 jia3 	maniso (mambesto)
船	chuan2	boato
传奇	chuan2 qi2	legendo
传染	chuan2 ran3	infekta
传统	chuan2 tong3	tradicia
船长	chuan2 zhang3	ŝipestro
窗口	chuang1 kou3	fenestro
窗框	chuang1 kuang4	fenestrokadro
窗廉	chuang1 lian2	kurteno
床单	chuang2 dan1	littuko
床垫	chuang2 dian4	matraco
床铺	chuang2 pu4	lito
创意	chuang4 yi4	kreema
创造	chuang4 zao4	krei
垂柳	chui2 liu3	(pla-sci) plorsaliko; plorsalikarbo (latine, Salix sepulcralis)
垂柳树	chui2 liu3 shu4	(pla-sci) plorsaliko; plorsalikarbo (latine, Salix sepulcralis)
春	chun1	printempo
春分	chun1 fen1	la printempa ekvinokso
春天	chun1 tian1	printempo
绰号	chuo4 hao4	kromnomo
雌	ci2	ina (besto); -ino
雌	ci2	inseksa
磁场	ci2 chang3	(fiz) magneta kampo
词典	ci2 dian3	vortaro
词法	ci2 fa3	morfologio (lingvistiko)
词根	ci2 gen1	radiko (gramatiko)
词类	ci2 lei4	vortklaso (lingvistiko)
词类	ci2 lei4	parto de parolo (gramatiko)
雌玛	ci2 ma3	ĉevalino
磁盘	ci2 pan2	magneta disko
雌蕊	ci2 rui3	(plantoj) pistilo; pistilo de floro
磁铁	ci2 tie3	magneto
词尾	ci2 wei3	finiĝo (gramatiko)
词尾不变	ci2 wei3  bu2 bian4	nedeklinaciebla (gramatiko)
词尾不变词	ci2 wei3  bu2 bian4 ci2	nedeklinaciebla vorto (gramatiko)
词形变化	ci2 xing2  bian4 hua4	fleksio (gramatiko)
雌性	ci2 xing4	inseksa
词序	ci2 xu4	vortordo (lingvistiko)
词语	ci2 yu3	vorto (lingvistiko)
词缀	ci2 zhui4	afikso (gramatiko)
词组	ci2 zu3	frazero; frazo (gramatiko)
刺	ci4	dorno
次	ci4	foje
刺柏	ci4 bai3	(pla-sci) junipero; juniperarbo (latine, Juniperus)
刺柏树	ci4 bai3 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
刺槐	ci4 huai2	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
刺槐树	ci4 huai2 shu4	(pla-sci) robinio; falŝa akacio; falŝa akaciarbo (latine, Robinia pseudoacacia)
刺激	ci4 ji1	ekscita
刺猬	ci4 wei4	erinaco (mambesto)
丛林	cong1 lin2	ĝangalo
聪明	cong1 ming2	lerta
从	cong2	de
从句	cong2 ju4	propozicio (gramatiko)
从没	cong2 mei2	neniam
粗	cu1	dika
粗糙	cu1 cao1	malglata
粗话	cu1 hua4	trivialaĵo
粗鲁	cu1 lu3	triviala
酢浆草	cu4 jiang1 cao3	(pla-sci) trifolio; trifolifloro (latine, Trifolium repens)
催眠术	cui1 mian2 shu4	hipnoto
脆弱	cui1 ruo4	facilrompa; rompiĝema
村庄	cun1 zhuang1	vilaĝo
存钱	cun2 qian2	ŝpari monon
存在	cun2 zai4	ekzisti
错	cuo4	eraro
错	cuo4	malĝusta
锉刀	cuo4 dao1	fajlilo
错过	cuo4 guo4	maltrafi
错视	cuo4 shi4	optika iluzio
错误	cuo4 wu4	eraro
答应	da1 ying4	promesi
达	da2	alveni
答录机	da2 lu4 ji1	respondaparato
打	da3	frapi
打电话	da3  dian4 hua4	telefoni
打电话给	da3  dian4 hua4  gei3	telefoni al
打喷嚏	da3  pen1 ti4	terni
打败	da3 bai4	venki
打工	da3 gong1	labori
打哈欠	da3 ha1 qian4	oscedi
打火机	da3 huo3 ji1	fajrilo
打架	da3 jia4	interbatiĝi
打开	da3 kai1	malfermi
打开电灯	da3 kai1  dian4 deng1	ŝalti lampon
打破	da3 po4	rompi
打扰	da3 rao3	ĝeni
打碎	da3 sui4	disrompi
打印机	da3 yin4 ji1	presilo
打字机	da3 zi4 ji1	skribmaŝino
打字员	da3 zi4 yuan2	tajpisto
大	da4	granda
大爆炸	da4 bao4 zha4	(ast) Praeksplodo; Granda Eksplodo
大爆炸理论	da4 bao4 zha4  li3 lun4	(ast) teorio de Praeksplodo
大部分的	da4 bu4 fen1 de5	la plejparto de; grandparte de
大部分	da4 bu4 fen5	plejparto; la plejparto
大肠	da4 chang2	(anat) intesto
大肠	da4 chang2	(anat) dika intesto
大动脉	da4 dong4 mai4	aorto
大豆	da4 dou4	sojfabo
大多数	da4 duo1 shu4	plejparto; la plejparto
大概	da4 gai4	verŝajne
大话	da4 hua4	mensogo
大会	da4 hui4	ĝenerala asembleo
大家	da4 jia1	ĉiuj
大力子	da4 li4 zi5	(pla-sci) lapo; (latine, Arctium)
大陆	da4 lu4	kontinento
大陆	da4 lu4	la ĉeftero de Ĉinio
大麻	da4 ma2	(pla-sci) kanabo; (latine, Cannabis sativa)
大麦	da4 mai4	hordeo
大猫熊	da4 mao1 xiong2	granda pando
大米	da4 mi3	rizo
大米饭	da4 mi3 fan4	rizo
大拇指	da4 mu3 zhi3	dikfingro; polekso
大脑	da4 nao3	(anat) cerebro
大人	da4 ren2	plenkreskulo
大熔炉	da4 rong2 lu2	la fandujo granda
大使	da4 shi3	ambasadoro
大使馆	da4 shi3 guan3	ambasadorejo
大腿	da4 tui3	(anat) femuro
大腿骨	da4 tui3 gu3	(anat) femurosto
大臀肌	da4 tun2 ji1	(anat) sidvango; glutea muskolo
大象	da4 xiang4	elefanto (mambesto)
大小	da4 xiao3	grandeco
大熊猫	da4 xiong2 mao1	granda pando
大学	da4 xue2	universitato
大学生	da4 xue2 sheng1	studento
大衣	da4 yi1	palto; surtuto
大英帝国	da4 ying1  di4 guo2	Brita Imperio
代	dai4	generacio
带	dai4	alporti
代表	dai4 biao3	reprezenti
代表	dai4 biao3	signifi
逮捕	dai4 bu3	aresti
代词	dai4 ci2	pronomo (gramatiko)
代达罗斯	Dai4 da2 luo2 si1	Dedalo (helena mitologio)
代沟	dai4 gou1	abismo inter la generacioj
贷款	dai4 kuan3	prunto
带来	dai4 lai2	alporti
带领	dai4 ling3	alporti
代名词	dai4 ming2 ci2	pronomo (gramatiko)
带去	dai4 qu4	alporti
袋鼠	dai4 shu3	makropo (mambesto)
代替	dai4 ti4	anstataŭigi
待宵草	dai4 xiao1 cao3	(pla-sci) enotero meza; enoterfloro meza (latine, Oenothera biennis)
袋子	dai4 zi5	sako
单车	dan1 che1	biciklo
单词	dan1 ci2	vorto (lingvistiko)
耽搁	dan1 ge1	malfruigi
担架床	dan1 jia4 chuang2	homportilo
丹麦语	dan1 mai4 yu3	la dana; la dana lingvo
单数	dan1 shu4	singularo (gramatiko)
单数词尾	dan1 shu4  ci2 wei3	singulara finaĵo (gramatiko)
单数代词	dan1 shu4  dai4 ci2	singulara pronomo (gramatiko)
单数代名词	dan1 shu4  dai4 ming2 ci2	singulara pronomo (gramatiko)
单位	dan1 wei4	unuo
单细胞	dan1 xi4 bao1	unuĉelula
单细胞生物	dan1 xi4 bao1  sheng1 wu4	unuĉelula organismo
担心	dan1 xin1	maltrankvila
单元音	dan1 yuan2 yin1	monoftongo (lingvistiko)
单字	dan1 zi4	vorto
胆	dan3	(anat) galveziko; gala veziko
胆敢	dan3 gan3	aŭdaci; kuraĝi
胆囊	dan3 nang2	(anat) galveziko; gala veziko
但	dan4	sed
氮	dan4	(kem) nitrogeno; la elemento nitrogeno (N), atomnumero 7
蛋白质	dan4 bai2 zhi4	proteino
但是	dan4 shi4	sed
当然	dang1 ran2	kompreneble
当时	dang1 shi2	tiam; tiotempe
党	dang3	la Komunista Partio de Ĉinio
党	dang3	partio
档案	dang4 an4	dosiero
刀叉	dao1 cha1	tranĉilo kaj forko
祷	dao3	preĝi
祷告	dao3 gao4	preĝi
倒塌	dao3 ta1	disfali
导体	dao3 ti3	(fiz) kondukanto; konduktilo
导演	dao3 yan3	reĝisoro
导游	dao3 you2	gvidisto
岛屿	dao3 yu3	insulo
导致	dao3 zhi4	kaŭzi; igi
到	dao4	alveni
到	dao4	al
稻草	dao4 cao3	(pla-sci) pajlo
倒出来	dao4 chu1 lai2	elverŝi
到处	dao4 chu4	ĉie
到达	dao4 da2	alveni
道德	dao4 de2	virto; moralo
到来	dao4 lai2	alveno
道理	dao4 li3	racio
道路	dao4 lu4	vojo
稻米	dao4 mi3	rizo
道歉	dao4 qian4	ekskuzi sin
稻田	dao4 tian2	rizokampo
稻子豆	dao4 zi5 dou4	(pla-sci) karobarbo; (latine, Ceratonia siliqua)
锝	de2	(kem) teknecio; la elemento teknecio (Tc), atomnumero 43
得到	de2 dao4	akiri
得墨忒耳	De2 mo4 te4 er3	Demetera (helena mitologio)
德文	de2 wen2	la germana; la germana lingvo
德语	de2 yu3	la germana; la germana lingvo
得知	de2 zhi1	sciiĝi
的时候	de5 shi2 hou5	kiam
灯	deng1	lampo
登出	deng1 chu1	elsaluti
登入	deng1 ru4	ensaluti
灯塔	deng1 ta3	lumturo
灯心草	deng1 xin1 cao3	(pla-sci) junko
等	deng3	atendi
等待	deng3 dai4	atendi
等候室	deng3 hou4 shi4	atendejo
低	di1	malalta
镝	di1	(kem) disprozio; la elemento disprozio (Dy), atomnumero 66
低潮	di1 chao2	malalttajdo; malaltmaro
狄安娜	Di2 an1 na4	Diana (romia mitologio)
狄俄尼索斯	Di2 e2 ni2 suo3 si1	Dionizo (helena mitologio)
的确	di2 que4	ja
敌人	di2 ren2	malamiko
地方	di3 fang1	loko; ejo
抵抗	di3 kang4	kontraŭstari; rezisti
帝	di4	imperiestro
碲	di4	(kem) teluro; la elemento teluro (Te), atomnumero 52
第八	di4 ba1	oka
第八十	di4 ba1 shi2	okdeka
地板	di4 ban3	planko
地道	di4 dao4	tunelo
第二	di4 er4	dua
第二人秤	di4 er4  ren2 cheng1	dua persono (gramatiko)
第二次大战	di4 er4 ci4  da4 zhan4	la dua mondmilito; (1939-1945 KE)
第二次世界大战	di4 er4 ci4  shi4 jie4  da4 zhan4	la dua mondmilito; (1939-1945 KE)
第二十	di4 er4 shi2	dudeka
地格	di4 ge2	lokativo; lokativa kazo (gramatiko)
帝国	di4 guo2	imperio
地窖	di4 jiao4	kelo
第九	di4 jiu3	naŭa
第九十	di4 jiu3 shi2	naŭdeka
地雷	di4 lei2	mino
地理	di4 li3	geografio
第六	di4 liu4	sesa
第六十	di4 liu4 shi2	sesdeka
地平线	di4 ping2 xian4	horizonto
第七	di4 qi1	sepa
第七十	di4 qi1 shi2	sepdeka
地球	di4 qiu2	(ast) Tero
第三	di4 san1	tria
第三人秤	di4 san1  ren2 cheng1	tria persono (gramatiko)
第三十	di4 san1 shi2	trideka
第十	di4 shi2	deka
第十八	di4 shi2 ba1	dek-oka
第十二	di4 shi2 er4	dek-dua
第十九	di4 shi2 jiu3	dek-naŭa
第十六	di4 shi2 liu4	dek-sesa
第十七	di4 shi2 qi1	dek-sepa
第十三	di4 shi2 san1	dek-tria
第十四	di4 shi2 si4	dek-kvara
第十五	di4 shi2 wu3	dek-kvina
第十一	di4 shi2 yi1	dek-unua
第四	di4 si4	kvara
第四十	di4 si4 shi2	kvardeka
地毯	di4 tan3	tapiŝo
地铁站	di4 tie3 zhan4	tramhaltejo
地图	di4 tu2	karto
第五	di4 wu3	kvina
第五十	di4 wu3 shi2	kvindeka
地下	di4 xia4	subtera
地下室	di4 xia4 shi4	kelo
地下铁	di4 xia4 tie3	metroo
第一	di4 yi1	unua
地衣	di4 yi1	(pla-sci) likeno
第一人秤	di4 yi1  ren2 cheng1	unua persono (gramatiko)
第一次	di4 yi1 ci4	unuafojo
第一次大战	di4 yi1 ci4  da4 zhan4	la unua mondmilito; (1914-1918 KE)
第一次世界大战	di4 yi1 ci4  shi4 jie4  da4 zhan4	la unua mondmilito; (1914-1918 KE)
第一百	di4 yi4 bai3	centa
地狱	di4 yu4	infero
地震	di4 zhen4	tertremo
地址	di4 zhi3	adreso
滇	dian1	Junano; mallongiga formo de Junano
颠茄	dian1 qie2	(pla-sci) beladono; (latine, Atropa belladonna)
碘	dian3	(kem) jodo; la elemento jodo (I), atomnumero 53
电	dian4	elektro; elektra
店	dian4	vendejo
电	dian4	fulmo
电冰箱	dian4 bing1 xiang1	fridujo
电场	dian4 chang3	(fiz) elektra kampo
电池	dian4 chi2	pilo
电磁场	dian4 ci2 chang3	(fiz) elektromagneta kampo
电灯	dian4 deng1	lampo
电灯泡	dian4 deng1 pao4	ampolo; lum-ampolo
电风扇	dian4 feng1 shan4	ventolilo
电工	dian4 gong1	elektristo
电荷	dian4 he2	(fiz) elektra ŝargo
电话	dian4 hua4	telefono
电话号码	dian4 hua4  hao4 ma3	telefon-numero
电话簿	dian4 hua4 bu4	telefonlibro
电话卡	dian4 hua4 ka3	telefonkarto
电话亭	dian4 hua4 ting2	telefonbudo
电话线	dian4 hua4 xian4	telefondrato
电绝缘体	dian4 jue2 yuan2 ti3	(fiz) elektra izolilo
电力	dian4 li4	elektro
电铃	dian4 ling2	elektra sonorilo
电流	dian4 liu2	(fiz) elektra kurento
电路	dian4 lu4	(fiz) elektra cirkvito
电脑	dian4 nao3	komputilo
电钮	dian4 niu3	butono; elektra butono
店铺	dian4 pu4	butiko; vendejo
电容	dian4 rong2	(fiz) kapacitanco
电扇	dian4 shan4	elektra ventumilo
电视	dian4 shi4	televido
电视节目	dian4 shi4  jie2 mu4	televida programo
电视连续剧	dian4 shi4  lian2 xu4 ju4	televida teatraĵserio; televida serialo
电视屏幕	dian4 shi4  ping2 mu4	televidila ekrano
电视新闻	dian4 shi4  xin1 wen2	televidaj novaĵoj
电视机	dian4 shi4 ji1	televidilo
电视剧	dian4 shi4 ju4	televida teatraĵo
电视台	dian4 shi4 tai2	televida stacio
电台	dian4 tai2	kanalo
电梯	dian4 ti1	lifto
电线	dian4 xian4	drato
电椅	dian4 yi3	elektra seĝo
电影	dian4 ying3	filmo
电影字幕	dian4 ying3  zi4 mu4	subtitolo de filmo
电影院	dian4 ying3 yuan4	kinejo
电邮	dian4 you2	retpoŝto
电邮地址	dian4 you2  di4 zhi3	retpoŝt-adreso
店员	dian4 yuan2	vendisto
电子	dian4 zi3	elektronika
电子	dian4 zi3	(fiz) elektrono
电子线路	dian4 zi3  xian4 lu4	(fiz) elektra cirkvito
电子邮件	dian4 zi3  you2 jian4	retpoŝto
电子邮件地址	dian4 zi3  you2 jian4  di4 zhi3	retpoŝt-adreso
电阻	dian4 zu3	(fiz) elektra rezistanco
雕	diao1	falko (birdo)
彫刻品	diao1 ke4 pin3	skulptaĵo
雕像	diao1 xiang4	skulptaĵo; statuo
调查	diao4 cha2	enketo
掉了	diao4 le5	fali
调子	diao4 zi5	melodio
蝶	die2	papilio (insekto)
丁香	ding1 xiang1	(pla-sci) kariofilo
顶叶	ding3 ye4	(anat) parieta lobo
定	ding4	certe
定词	ding4 ci2	difinita artikolo (gramatiko)
定义	ding4 yi4	difino
铥	diu1	(kem) tulio; la elemento tulio (Tm), atomnumero 69
丢掉	diu1 diao4	forĵeti
氡	dong1	(kem) radono; la elemento radono (Rn), atomnumero 86
冬	dong1	vintro
东方	dong1 fang1	oriento
东方文化	dong1 fang1  wen2 hua4	orienta kulturo
东晋	dong1 jin4	Orienta Ĝin-dinastio; 317-420 KE
东晋十六国	dong1 jin4  shi2 liu4 guo2	Orienta Ĝin kaj la Deksesa-Reĝlandoj; Periodo de la Orienta Ĝin kaj la Deksesa-Reĝlandoj; 317-439 KE
东盟	dong1 meng2	(m-l) Asocio de Sudorient-Aziaj Nacioj; (ASAN)
东南亚国家联盟	dong1 nan2 ya4  guo2 jia1  lian2 meng2	Asocio de Sudorient-Aziaj Nacioj; (ASAN)
冬青	dong1 qing1	(pla-sci) akvifolio; (latine, Ilex)
冬天	dong1 tian1	vintro
东西	dong1 xi1	oriento kaj nordo
东西	dong1 xi5	aĵo
冬至	dong1 zhi4	la vintra solstico
懂	dong3	kompreni
洞	dong4	kavo
动词	dong4 ci2	verbo (gramatiko)
动词不定式	dong4 ci2  bu2 ding4 shi4	infinitiva verbo (gramatiko)
动词词尾	dong4 ci2  ci2 wei3	verba finiĝo (gramatiko)
动词短语	dong4 ci2  duan3 yu3	verba frazero (gramatiko)
动词谓语	dong4 ci2  wei4 yu3	predikato (gramatiko)
动词形式	dong4 ci2  xing2 shi4	verba formo (gramatiko)
动词根	dong4 ci2 gen1	verba radiko (gramatiko)
动机	dong4 ji1	motivo; instiga kaŭzo
动脉	dong4 mai4	(anat) arterio
动名词	dong4 ming2 ci2	gerundo (gramatiko)
动能	dong4 neng2	(fiz) kineta energio
动物	dong4 wu4	besto
洞穴	dong4 xue2	kavo
动作	dong4 zuo4	ago
都	dou1	tuta; tutaj; ĉiu
都不	dou1 bu4	eĉ ne
蚪	dou3	ranido (amfibio)
陡峭	dou3 qiao4	kruta
豆腐	dou4 fu3	toŭfuo
豆干	dou4 gan1	sekigita toŭfuo
豆浆	dou4 jiang1	sojfaba lakto
豆乳	dou4 ru3	fermentinta toŭfuo
都	du1	urbo; urbego
都	du1	ĉefurbo
都市	du1 shi4	urbo
毒	du2	veneno
读	du2	legi
毒	du2	drogoj; drogaĉoj
独裁	du2 cai2	diktatoro
毒虫	du2 chong2	(sla) drogemulo
独到	du2 dao4	originala
毒贩	du2 fan4	drogvendisto
毒狗草	du2 gou3 cao3	(pla-sci) apocino; (latine, Apocynum)
毒胡萝卜	du2 hu2 luo2 bo5	(pla-sci) konio makula; (latine, Conium maculatum)
毒堇	du2 jin3	(pla-sci) konio makula; (latine, Conium maculatum)
独立	du2 li4	sendependa
毒品贩子	du2 pin3  fan4 zi5	drogvendisto
毒气	du2 qi4	venena gaso
独身	du2 shen1	fraŭla
读书	du2 shu1	legi; studi
独特	du2 te4	unika; ununura
独眼巨人	du2 yan3  ju4 ren2	Ciklopo (helena mitologio)
毒药	du2 yao4	veneno
读者	du2 zhe3	leganto
赌博	du3 bo2	monludi
肚	du4	(anat) ventro
妒嫉	du4 ji2	ĵaluza
独角兽	du4 jiao3 shou4	unukornulo (mitologio)
杜鹃	du4 juan1	kukolo (birdo)
杜鹃花	du4 juan1 hua1	(pla-sci) azaleo; azalefloro (latine, Rhododendron nudiflorum)
肚脐	du4 qi2	(anat) umbiliko
毒蛇	du4 she2	vipuro; vipero (reptilio)
杜松	du4 song1	(pla-sci) junipero; juniperarbo (latine, Juniperus)
杜松树	du4 song1 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
肚子	du4 zi5	(anat) ventro
肚子饿	du4 zi5 e4	malsata
短	duan3	mallonga
短路	duan3 lu4	(fiz) kurta cirkvito
短吻鳄	duan3 wen3 e2	aligatoro (reptilio)
短语	duan3 yu3	frazo
段	duan4	paragrafo
椴	duan4	(pla-sci) tilio; tiliarbo (latine, Tilia)
断肠草	duan4 chang2 cao3	(pla-sci) venena sumako; (latine, Toxicodendron radicans)
段落	duan4 luo4	paragrafo
椴树	duan4 shu4	(pla-sci) tilio; tiliarbo (latine, Tilia)
堆肥	dui1 fei2	kompoŝto
堆肥	dui1 fei2	kompoŝti
对	dui4	al
对	dui4	ĝusta
对不起	dui4 bu5 qi3	pardonon
对待	dui4 dai4	trakti
对话	dui4 hua4	interparolado
对面	dui4 mian4	kontraŭ; kontraŭe
对手	dui4 shou3	kontraŭulo
对弈	dui4 yi4	ludi tabulludon
对弈	dui4 yi4	ŝakludi
对着	dui4 zhe5	kontraŭ
蹲下	dun1 xia4	kaŭri
盾	dun4	ŝildo
多	duo1	pluraj
多	duo1	multa; multaj
多次	duo1 ci4	multfoje
多年生	duo1 nian2 sheng1	(plantoj) plurjara
多年生草本	duo1 nian2 sheng1  cao3 ben3	(plantoj) plurjara herbo
多少	duo1 shao3	kiom; kiom da; kiom multa
多细胞	duo1 xi4 bao1	multĉelula
多细胞生物	duo1 xi4 bao1  sheng1 wu4	multĉelula organismo
多一点	duo1 yi4 dian3	plu; pli multa
多云	duo1 yun2	nuba
多种	duo1 zhong3	multspeca
夺格	duo2 ge2	ablativo; ablativa kazo (gramatiko)
蛾	e2	tineo (insekto)
锇	e2	(kem) osmio; la elemento osmio (Os), atomnumero 76
鳄	e2	aligatoro (reptilio)
鹅	e2	ansero (birdo)
额	e2	(anat) frunto
俄狄浦斯	E2 di2 pu3 si1	Edipo (helena mitologio)
俄尔甫斯	E2 er3 fu3 si1	Orfeo (helena mitologio)
俄罗斯语	e2 luo2 si1 yu3	la rusa; la rusa lingvo
额头	e2 tou5	(anat) frunto
额外	e2 wai4	plia; ekstra
俄文	e2 wen2	la rusa; la rusa lingvo
额叶	e2 ye4	(anat) frunta lobo
鳄鱼	e2 yu2	krokodilo (reptilio)
鳄	e2 yu2	krokodilo (reptilio)
俄语	e2 yu3	la rusa; la rusa lingvo
恶	e3	naŭza
恶心	e3 xin1	naŭza
砈	e4	(kem) astato; la elemento astato (At), atomnumero 85
颚	e4	(anat) mandiblo
颚	e4	(anat) makzelo
鄂	e4	Hubejo; mallongiga formo de Hubejo
颚骨	e4 gu3	(anat) mandiblo
噩梦	e4 meng4	premsonĝo; koŝmaro
恶梦	e4 meng4	premsonĝo; koŝmaro
恶作剧	e4 zuo4 ju4	petolaĵo
而	er2	kaj
而非	er2 fei1	anstataŭ
而且	er2 qie3	cetere; krome
而且	er2 qie3	kaj
耳	er3	(anat) orelo
铒	er3	(kem) erbio; la elemento erbio (Er), atomnumero 68
耳垂	er3 chui2	(anat) orellobo; orela lobo
耳朵	er3 duo3	(anat) orelo
耳垢	er3 gou4	(anat) orelvakso; cerumeno
耳环	er3 huan2	orelringo
耳廓	er3 kuo4	(anat) orelkonko
二	er4	mardo
二	er4	du (2)
二百	er4 bai3	ducent (200)
二分之一	er4 fen1 zhi1 yi1	duono
二年生	er4 nian2 sheng1	(plantoj) dujara
二年生草本	er4 nian2 sheng1  cao3 ben3	(plantoj) dujara herbo
二十	er4 shi2	dudek (20)
二十分钟	er4 shi2  fen1 zhong1	dudek minutoj
二十八	er4 shi2 ba1	dudek ok (28)
二十二	er4 shi2 er4	dudek du (22)
二十九	er4 shi2 jiu3	dudek naŭ (29)
二十六	er4 shi2 liu4	dudek ses (26)
二十七	er4 shi2 qi1	dudek sep (27)
二十三	er4 shi2 san1	dudek tri (23)
二十四	er4 shi2 si4	dudek kvar (24)
二十万	er4 shi2 wan4	ducent mil (200 000)
二十五	er4 shi2 wu3	dudek kvin (25)
二十五分钟	er4 shi2 wu3  fen1 zhong1	dudek kvin minutoj
二十一	er4 shi2 yi1	dudek unu (21)
二十亿	er4 shi2 yi4	du miliardo (2 000 000 000)
二头肌	er4 tou2 ji1	(anat) bicepso; dukapa muskolo
二月	er4 yue4	februaro
二月八号	er4 yue4  ba1  hao4	la oka de februaro
二月八日	er4 yue4  ba1  ri4	la oka de februaro
